month,feature,dau,mau,dau_mau_ratio,api_calls,errors,avg_latency_ms
2025-01,Dashboard,3409,16933,0.201,129811,670,150.7
2025-01,API,1793,6344,0.283,40870,670,103.3
2025-01,Reports,2517,9892,0.254,38670,333,245.9
2025-01,Integrations,954,5169,0.185,28272,187,173.2
2025-01,Mobile App,594,3082,0.193,10657,131,105.5
2025-02,Dashboard,2995,14899,0.201,87695,932,147.1
2025-02,API,1910,9683,0.197,79766,1541,213.8
2025-02,Reports,2455,11971,0.205,69054,609,222.9
2025-02,Integrations,857,4545,0.189,24719,359,192.1
2025-02,Mobile App,699,3336,0.21,23359,140,168.1
2025-03,Dashboard,2797,13914,0.201,84935,1291,87.1
2025-03,API,1881,9278,0.203,32282,195,82.1
2025-03,Reports,2837,14114,0.201,72620,686,139.4
2025-03,Integrations,1044,5034,0.207,21460,163,96.7
2025-03,Mobile App,718,3610,0.199,16479,87,94.0
2025-04,Dashboard,3184,13025,0.244,121236,1742,144.9
2025-04,API,2049,7668,0.267,68539,1139,189.5
2025-04,Reports,2666,9554,0.279,117449,1994,129.8
2025-04,Integrations,1134,5334,0.213,36824,597,218.0
2025-04,Mobile App,767,2880,0.266,19288,364,118.2
2025-05,Dashboard,2744,11975,0.229,77331,1097,240.3
2025-05,API,2184,8174,0.267,45698,836,189.8
2025-05,Reports,2584,13260,0.195,105533,1867,236.2
2025-05,Integrations,1026,5140,0.2,29565,521,203.8
2025-05,Mobile App,835,4018,0.208,16969,223,247.4
2025-06,Dashboard,2957,10604,0.279,58975,411,203.4
2025-06,API,2584,10147,0.255,77973,1373,204.6
2025-06,Reports,2773,12979,0.214,83885,793,176.1
2025-06,Integrations,1167,6122,0.191,39781,653,107.2
2025-06,Mobile App,833,2931,0.284,18659,296,248.6
2025-07,Dashboard,2413,10383,0.232,94112,758,174.4
2025-07,API,2675,12658,0.211,55213,570,213.2
2025-07,Reports,2830,9934,0.285,107058,591,206.8
2025-07,Integrations,1100,5957,0.185,28642,283,105.3
2025-07,Mobile App,853,4481,0.19,38291,402,156.3
2025-08,Dashboard,2640,13919,0.19,86569,941,150.1
2025-08,API,2786,9768,0.285,93575,11229,215.0
2025-08,Reports,2618,12242,0.214,77045,1127,91.0
2025-08,Integrations,1234,5704,0.216,39265,551,195.0
2025-08,Mobile App,993,4011,0.248,39473,492,93.1
2025-09,Dashboard,2217,9241,0.24,85458,1334,214.1
2025-09,API,2817,12339,0.228,54716,542,153.8
2025-09,Reports,2661,10487,0.254,87671,1405,249.7
2025-09,Integrations,1369,6550,0.209,37835,550,213.6
2025-09,Mobile App,908,3922,0.232,36496,392,177.2
2025-10,Dashboard,2377,9196,0.258,61486,615,84.5
2025-10,API,2654,13703,0.194,61551,786,130.8
2025-10,Reports,3210,12899,0.249,89525,1619,223.1
2025-10,Integrations,1223,6243,0.196,35155,430,102.7
2025-10,Mobile App,945,4683,0.202,28249,326,204.0
2025-11,Dashboard,2358,9002,0.262,78537,552,207.7
2025-11,API,3156,17084,0.185,53868,315,128.0
2025-11,Reports,2857,11410,0.25,120530,1053,126.2
2025-11,Integrations,1420,6247,0.227,54387,325,162.9
2025-11,Mobile App,979,3549,0.276,41307,292,170.5
2025-12,Dashboard,2105,8829,0.238,88399,470,192.8
2025-12,API,3481,16083,0.216,150047,867,151.2
2025-12,Reports,2903,14403,0.202,129006,1141,191.2
2025-12,Integrations,1310,6066,0.216,37882,741,183.4
2025-12,Mobile App,1094,4078,0.268,21373,179,122.7
